program_id,course_id,available_from_year_n
1,457,1
1,459,1
1,461,1
1,466,1
1,471,1
1,507,3
1,536,1
1,540,3
1,550,1
2,383,1
2,424,1
2,457,1
2,459,1
2,461,1
2,466,1
2,471,1
2,507,3
2,536,1
2,539,4
2,540,3
2,550,1
3,16,1
3,383,1
3,424,1
3,457,1
3,462,1
3,507,3
3,539,4
3,540,3
4,507,3
4,540,3
5,383,1
5,459,1
5,461,1
5,462,1
5,507,3
5,539,4
5,540,3
6,462,1
7,16,1
7,383,1
7,424,1
7,507,3
7,539,4
7,540,3
8,17,1
8,457,1
8,462,1
8,507,1
8,539,1
8,540,1
11,333,1
12,328,1
14,3,1
14,240,1
14,270,1
15,270,1
16,217,1
16,224,1
16,383,1
17,24,1
17,28,1
17,34,1
17,240,1
17,424,1
18,24,1
18,28,1
18,34,1
18,106,2
18,137,2
18,157,2
18,285,1
19,21,1
19,24,1
19,28,1
19,34,1
19,138,1
19,157,2
19,424,1
20,24,1
20,28,1
20,34,1
20,105,1
20,106,2
20,137,2
20,157,2
21,21,1
21,24,1
21,28,1
21,34,1
21,105,1
21,106,2
21,138,1
21,157,2
21,424,1
22,24,1
22,28,1
22,34,1
22,100,1
22,105,1
22,120,1
22,138,1
23,217,1
23,224,1
23,240,1
23,383,1
24,217,1
24,224,1
24,383,1
25,1,1
25,240,1
25,270,1
25,383,1
25,424,1
26,1,1
26,24,1
26,28,1
26,34,1
26,240,1
26,270,1
26,383,1
26,424,1
27,1,1
27,240,1
27,270,1
27,383,1
27,424,1
28,1,1
28,24,1
28,28,1
28,34,1
28,240,1
28,270,1
28,383,1
28,424,1
29,240,1
29,270,1
29,424,1
30,340,1
31,270,1
31,310,1
31,317,1
31,383,1
32,270,1
32,285,1
32,302,1
32,317,1
32,383,1
33,270,1
33,284,1
33,285,1
33,303,1
33,305,1
33,317,1
33,383,1
34,24,1
34,28,1
34,34,1
34,240,1
34,424,1
35,2,1
35,368,1
35,369,1
35,370,1
35,383,1
35,424,1
36,2,1
36,368,1
36,369,1
36,370,1
36,383,1
36,424,1
37,270,1
37,376,1
37,383,1
37,385,1
38,270,1
38,376,1
38,383,1
38,385,1
39,16,1
39,24,1
39,260,1
39,270,1
39,285,1
39,383,1
39,395,1
39,411,1
39,422,1
39,423,1
39,424,1
40,16,1
40,24,1
40,260,1
40,270,1
40,285,1
40,383,1
40,391,1
40,395,1
40,400,1
40,419,1
40,423,1
40,424,1
41,27,1
41,59,1
41,60,1
41,61,1
41,75,1
41,270,1
41,383,1
42,27,1
42,59,1
42,60,1
42,61,1
42,75,1
42,80,1
42,270,1
42,383,1
43,440,1
43,443,1
43,445,1
43,446,1
44,440,1
44,443,1
44,445,1
44,446,1
45,24,1
45,28,1
45,34,1
45,217,1
45,224,1
45,240,1
45,383,1
46,179,1
46,205,1
47,120,1
48,120,1
49,183,1
49,186,1
49,193,1
49,195,1
49,205,1
50,101,1
50,108,1
50,111,1
50,119,1
50,120,1
50,122,1
50,123,1
50,124,1
50,128,1
50,135,1
51,101,1
51,108,1
51,111,1
51,119,1
51,122,1
51,123,1
51,124,1
51,128,1
51,135,1
52,24,1
52,28,1
52,34,1
52,240,1
53,4,1
53,16,1
53,17,1
53,24,1
53,27,1
53,28,1
53,34,1
53,240,1
54,27,1
54,59,1
54,60,1
54,61,1
54,64,1
54,75,1
54,76,1
55,27,1
55,59,1
55,60,1
55,61,1
55,75,1
59,236,1
59,238,1
60,34,1
60,270,1
60,424,1
61,161,1
61,162,1
61,163,1
61,164,1
61,169,1
62,210,1
62,212,1
64,34,1
64,240,1
65,16,1
65,21,1
65,24,1
65,27,1
65,32,1
66,388,1
67,388,1
68,34,1
68,88,1
68,97,1
69,88,1
69,97,1
70,88,1
70,97,1
71,34,1
71,88,1
71,97,1
72,88,1
72,97,1
73,454,1
73,455,1
74,431,1
74,432,1
74,433,1
74,434,1
74,435,1
74,436,1
76,138,1
76,400,1
77,138,1
77,400,1
78,138,1
78,400,1
