program_id,course_id,available_from_year_n
1,465,1
1,467,1
1,469,1
1,525,1
1,528,1
1,529,1
1,530,1
2,187,4
2,188,4
2,465,1
2,467,1
2,469,1
2,525,1
2,528,1
2,529,1
2,530,1
3,17,2
3,18,1
3,19,4
3,22,1
3,25,1
3,26,1
3,29,1
3,31,1
3,38,4
3,44,4
3,68,4
3,81,1
3,101,4
3,103,4
3,104,4
3,112,4
3,118,4
3,122,4
3,124,4
3,128,4
3,140,4
3,145,4
3,153,4
3,158,4
3,187,4
3,188,4
3,458,2
3,469,1
3,525,1
3,526,3
3,527,3
3,528,1
3,529,1
3,530,1
3,559,4
5,38,4
5,68,4
5,115,4
5,458,2
5,465,1
6,17,2
6,458,2
6,469,1
6,525,1
6,528,1
6,529,1
7,17,2
7,19,4
7,22,1
7,25,1
7,26,1
7,29,1
7,31,1
7,38,1
7,44,4
7,68,4
7,81,1
7,101,4
7,103,4
7,104,4
7,112,4
7,118,4
7,122,4
7,124,4
7,128,4
7,140,4
7,145,4
7,153,4
7,158,4
7,187,4
7,188,4
7,458,2
7,469,1
7,525,1
7,526,3
7,527,3
7,559,4
8,18,1
8,458,2
8,469,1
8,525,1
8,526,3
8,527,3
8,528,1
8,529,1
8,530,1
11,334,1
11,335,1
11,339,1
11,345,1
11,349,1
11,353,1
12,345,1
12,352,1
12,358,1
12,359,1
13,66,1
13,345,1
13,349,1
13,351,1
13,354,1
13,355,1
14,245,1
14,246,1
14,247,1
14,248,1
14,249,1
14,250,1
14,251,1
14,256,1
14,281,1
15,245,1
15,246,1
15,247,1
15,248,1
15,249,1
15,250,1
15,251,1
15,256,1
16,37,1
16,214,1
16,215,1
16,229,1
16,397,1
16,398,1
17,22,1
17,25,1
17,37,1
17,187,4
17,188,1
17,190,1
17,203,1
17,208,1
17,256,1
17,281,1
18,22,1
18,38,1
18,56,1
18,57,1
18,140,1
19,13,1
19,18,1
19,22,1
19,25,1
19,26,1
19,29,1
20,22,1
20,24,1
20,34,1
20,38,1
20,56,1
20,57,1
20,117,1
20,120,1
20,140,1
20,146,1
20,151,1
21,13,1
21,18,1
21,22,1
21,24,1
21,25,1
21,26,1
21,29,1
21,34,1
21,100,1
21,120,1
21,139,1
21,140,1
21,151,1
21,163,1
21,165,1
21,166,1
21,167,1
21,168,1
21,170,1
21,171,1
21,172,1
21,173,1
21,174,1
22,22,1
22,34,1
22,38,1
22,56,1
22,57,1
22,104,4
22,140,1
22,153,4
23,37,1
23,214,1
23,229,1
23,397,1
23,398,1
24,37,1
24,214,1
24,215,1
24,229,1
24,397,1
24,398,1
25,37,1
25,245,1
25,246,1
25,247,1
25,248,1
25,249,1
25,250,1
25,251,1
25,256,1
25,397,1
25,398,1
26,22,1
26,25,1
26,37,1
26,245,1
26,246,1
26,247,1
26,248,1
26,249,1
26,250,1
26,251,1
26,256,1
26,397,1
26,398,1
26,437,1
26,438,1
26,439,1
27,37,1
27,187,4
27,188,1
27,190,1
27,203,1
27,208,1
27,245,1
27,246,1
27,247,1
27,248,1
27,249,1
27,250,1
27,256,1
27,397,1
27,398,1
28,22,1
28,25,1
28,37,1
28,245,1
28,246,1
28,247,1
28,248,1
28,249,1
28,250,1
28,251,1
28,256,1
28,281,1
28,397,1
28,398,1
28,437,1
28,438,1
28,439,1
29,37,1
29,245,1
29,246,1
29,247,1
29,248,1
29,249,1
29,250,1
29,251,1
29,281,1
29,437,1
29,438,1
29,439,1
30,66,1
30,349,1
30,351,1
30,354,1
30,355,1
31,382,1
31,397,1
31,398,1
32,37,1
32,382,1
32,397,1
32,398,1
33,37,1
33,397,1
33,398,1
34,22,1
34,25,1
34,37,1
34,245,1
34,246,1
34,247,1
34,248,1
34,249,1
34,250,1
34,256,1
34,281,1
34,437,1
34,438,1
34,439,1
35,37,1
35,366,1
35,367,1
35,397,1
35,398,1
35,437,1
36,37,1
36,366,1
36,367,1
36,397,1
36,398,1
36,437,1
37,37,1
37,397,1
37,398,1
38,37,1
38,397,1
38,398,1
39,25,1
39,37,1
39,42,1
39,53,1
39,71,1
39,78,1
39,79,1
39,349,1
39,397,1
39,398,1
39,438,1
40,25,1
40,37,1
40,42,1
40,53,1
40,71,1
40,78,1
40,79,1
40,190,1
40,349,1
40,397,1
40,398,1
40,439,1
41,13,1
41,18,1
41,30,1
41,37,1
41,38,1
41,40,1
41,42,1
41,44,1
41,45,1
41,50,1
41,53,1
41,54,1
41,56,1
41,57,1
41,62,1
41,65,1
41,68,1
41,71,1
41,74,1
41,78,1
41,79,1
41,86,1
41,203,1
41,397,1
41,398,1
42,13,1
42,18,1
42,30,1
42,37,1
42,38,1
42,40,1
42,42,1
42,44,1
42,45,1
42,50,1
42,53,1
42,54,1
42,56,1
42,57,1
42,62,1
42,65,1
42,68,1
42,71,1
42,74,1
42,78,1
42,79,1
42,86,1
42,203,1
42,397,1
42,398,1
43,37,1
43,73,1
43,87,1
43,281,1
43,365,1
43,554,1
43,555,1
43,558,1
43,561,1
44,37,1
44,73,1
44,87,1
44,281,1
44,365,1
44,554,1
44,555,1
44,558,1
44,561,1
45,22,1
45,25,1
45,37,1
45,214,1
45,215,1
45,229,1
45,397,1
45,398,1
46,31,1
46,56,1
46,176,1
46,177,1
46,178,1
46,180,1
46,181,1
46,182,1
46,184,1
46,185,1
46,187,1
46,188,1
46,189,1
46,190,1
46,192,1
46,194,1
46,196,1
46,197,1
46,198,1
46,199,1
46,200,1
46,201,1
46,202,1
46,203,1
46,204,1
46,206,1
46,207,1
46,208,1
46,209,1
46,347,1
46,556,1
49,31,1
49,56,1
49,176,1
49,177,1
49,178,1
49,180,1
49,181,1
49,182,1
49,184,1
49,185,1
49,187,1
49,188,1
49,189,1
49,190,1
49,191,1
49,192,1
49,194,1
49,196,1
49,197,1
49,198,1
49,199,1
49,200,1
49,201,1
49,202,1
49,203,1
49,204,1
49,206,1
49,207,1
49,208,1
49,209,1
49,347,1
49,556,1
52,19,4
52,22,1
52,25,1
52,26,1
52,38,1
52,44,1
52,53,1
52,56,1
52,57,1
52,68,1
52,79,1
52,116,1
52,117,1
52,139,1
52,140,1
52,187,1
52,188,1
52,190,1
52,203,1
52,208,1
52,556,1
53,13,1
53,18,1
53,19,4
53,22,1
53,25,1
53,26,1
53,29,1
53,30,1
53,31,1
53,38,1
53,44,1
53,53,1
53,56,1
53,57,1
53,68,1
53,79,1
53,116,1
53,117,1
53,139,1
53,140,1
53,148,1
53,158,4
53,187,1
53,188,1
53,190,1
53,202,1
53,203,1
53,204,1
53,208,1
53,209,1
53,556,1
54,13,1
54,18,1
54,30,1
54,37,1
54,38,1
54,40,1
54,42,1
54,44,1
54,45,1
54,50,1
54,53,1
54,54,1
54,56,1
54,57,1
54,62,1
54,65,1
54,68,1
54,71,1
54,74,1
54,78,1
54,79,1
54,86,1
54,178,1
54,203,1
54,209,1
55,13,1
55,18,1
55,30,1
55,38,4
55,44,4
55,53,1
55,56,1
55,57,1
55,68,4
55,71,1
55,178,1
55,203,1
55,209,1
58,5,1
58,8,1
58,10,1
60,25,1
60,281,1
60,437,1
60,438,1
60,439,1
60,554,1
60,555,1
62,211,1
62,562,1
62,563,1
62,564,1
64,25,1
64,281,1
64,437,1
64,438,1
64,439,1
64,554,1
64,555,1
65,22,1
65,23,1
65,24,1
65,25,1
65,26,1
65,28,1
65,29,1
65,30,1
65,31,1
65,34,1
68,18,1
68,25,1
68,33,1
68,53,1
68,56,1
68,57,1
68,71,1
68,89,1
68,90,1
68,91,1
68,92,1
68,93,1
68,94,1
68,95,1
68,96,1
68,98,1
68,393,1
68,396,1
68,409,1
68,562,1
69,18,1
69,25,1
69,33,1
69,34,1
69,53,1
69,56,1
69,57,1
69,71,1
69,89,1
69,90,1
69,91,1
69,92,1
69,93,1
69,94,1
69,95,1
69,96,1
69,98,1
69,99,1
69,218,1
69,393,1
69,396,1
69,409,1
69,562,1
70,18,1
70,24,1
70,25,1
70,26,1
70,33,1
70,34,1
70,53,1
70,56,1
70,57,1
70,71,1
70,89,1
70,90,1
70,91,1
70,92,1
70,93,1
70,94,1
70,95,1
70,96,1
70,98,1
70,99,1
70,218,1
70,382,1
70,393,1
70,396,1
70,409,1
70,562,1
71,18,1
71,25,1
71,33,1
71,89,1
71,91,1
71,92,1
71,94,1
71,95,1
71,96,1
71,98,1
71,396,1
71,562,1
72,18,1
72,24,1
72,25,1
72,26,1
72,33,1
72,34,1
72,53,1
72,56,1
72,57,1
72,71,1
72,89,1
72,90,1
72,91,1
72,92,1
72,93,1
72,94,1
72,95,1
72,96,1
72,98,1
72,99,1
72,218,1
72,382,1
72,393,1
72,396,1
72,409,1
72,562,1
73,73,1
73,87,1
73,281,1
73,365,1
73,437,1
73,453,3
73,554,1
73,555,1
73,558,1
73,561,1
74,437,1
74,438,1
74,439,1
75,360,1
76,17,2
76,18,1
76,19,4
76,25,1
76,26,1
76,38,4
76,44,4
76,68,4
76,101,4
76,103,4
76,104,4
76,124,4
76,128,4
76,187,4
76,188,1
76,190,1
76,437,1
77,17,2
77,18,1
77,19,4
77,25,1
77,26,1
77,38,4
77,44,4
77,68,4
77,101,4
77,103,4
77,104,4
77,124,4
77,128,4
77,187,4
77,188,1
77,190,1
77,437,1
78,17,2
78,18,1
78,19,4
78,25,1
78,26,1
78,38,4
78,44,4
78,68,4
78,101,4
78,103,4
78,104,4
78,124,4
78,128,4
78,187,4
78,188,1
78,190,1
78,437,1
